26/10/2012
V740D9_dispersion1540equalized_TEr20g200 _X	V740D9_dispersion1540equalized_TEr20g200_Y	V740D9_dispersion1540equalized_TEr20g200_Ynorm	dispersionV740D9_1560equalized_TEr20g200 _X	dispersionV740D9_1560equalized_TEr20g200_Y	dispersionV740D9_1560equalized_TEr20g200_Ynorm	dispersionV740D9_1560equalized_noRing _X	dispersionV740D9_1560equalized_noRing_Y	dispersionV740D9_1560equalized_noRing_Ynorm	dispersionV740D9_1560equalized_r20g275 _X	dispersionV740D9_1560equalized_r20g275_Y	dispersionV740D9_1560equalized_r20g275_Ynorm	dispersionV740D9_1560equalized_r20g325 _X	dispersionV740D9_1560equalized_r20g325_Y	dispersionV740D9_1560equalized_r20g325_Ynorm	dispersionV740D9_1560equalized_r20g400 _X	dispersionV740D9_1560equalized_r20g400_Y	dispersionV740D9_1560equalized_r20g400_Ynorm	dispersionV740D9_1560equalized_r20g170g180 _X	dispersionV740D9_1560equalized_r20g170g180_Y	dispersionV740D9_1560equalized_r20g170g180_Ynorm
1.530240E+3	-1.755000E+2	-3.555000E+2	1.530240E+3	-1.141000E+2	-2.922000E+2	1.532400E+3	-7.338000E+1	-1.973800E+2	1.530240E+3	-1.193000E+2	-2.988000E+2	1.530240E+3	-1.210000E+2	-2.583000E+2	1.530240E+3	-1.424000E+2	-2.815000E+2	1.530240E+3	-1.411000E+2	-3.201000E+2
1.530250E+3	-1.761000E+2	-3.561000E+2	1.530250E+3	-1.140000E+2	-2.921000E+2	1.532500E+3	-7.466000E+1	-1.986600E+2	1.530250E+3	-1.195000E+2	-2.990000E+2	1.530250E+3	-1.211000E+2	-2.584000E+2	1.530250E+3	-1.425000E+2	-2.816000E+2	1.530250E+3	-1.409000E+2	-3.199000E+2
1.530260E+3	-1.765000E+2	-3.565000E+2	1.530260E+3	-1.139000E+2	-2.920000E+2	1.532600E+3	-7.606000E+1	-2.000600E+2	1.530260E+3	-1.196000E+2	-2.991000E+2	1.530260E+3	-1.214000E+2	-2.587000E+2	1.530260E+3	-1.425000E+2	-2.816000E+2	1.530260E+3	-1.408000E+2	-3.198000E+2
1.530270E+3	-1.770000E+2	-3.570000E+2	1.530270E+3	-1.137000E+2	-2.918000E+2	1.532700E+3	-7.690000E+1	-2.009000E+2	1.530270E+3	-1.198000E+2	-2.993000E+2	1.530270E+3	-1.217000E+2	-2.590000E+2	1.530270E+3	-1.425000E+2	-2.816000E+2	1.530270E+3	-1.406000E+2	-3.196000E+2
1.530280E+3	-1.775000E+2	-3.575000E+2	1.530280E+3	-1.135000E+2	-2.916000E+2	1.532800E+3	-7.638000E+1	-2.003800E+2	1.530280E+3	-1.197000E+2	-2.992000E+2	1.530280E+3	-1.220000E+2	-2.593000E+2	1.530280E+3	-1.426000E+2	-2.817000E+2	1.530280E+3	-1.404000E+2	-3.194000E+2
1.530290E+3	-1.780000E+2	-3.580000E+2	1.530290E+3	-1.134000E+2	-2.915000E+2	1.532900E+3	-7.435000E+1	-1.983500E+2	1.530290E+3	-1.196000E+2	-2.991000E+2	1.530290E+3	-1.222000E+2	-2.595000E+2	1.530290E+3	-1.425000E+2	-2.816000E+2	1.530290E+3	-1.403000E+2	-3.193000E+2
1.530300E+3	-1.784000E+2	-3.584000E+2	1.530300E+3	-1.133000E+2	-2.914000E+2	1.533000E+3	-7.114000E+1	-1.951400E+2	1.530300E+3	-1.196000E+2	-2.991000E+2	1.530300E+3	-1.223000E+2	-2.596000E+2	1.530300E+3	-1.425000E+2	-2.816000E+2	1.530300E+3	-1.401000E+2	-3.191000E+2
1.530310E+3	-1.788000E+2	-3.588000E+2	1.530310E+3	-1.132000E+2	-2.913000E+2	1.533100E+3	-6.718000E+1	-1.911800E+2	1.530310E+3	-1.196000E+2	-2.991000E+2	1.530310E+3	-1.222000E+2	-2.595000E+2	1.530310E+3	-1.424000E+2	-2.815000E+2	1.530310E+3	-1.400000E+2	-3.190000E+2
1.530320E+3	-1.795000E+2	-3.595000E+2	1.530320E+3	-1.131000E+2	-2.912000E+2	1.533200E+3	-6.242000E+1	-1.864200E+2	1.530320E+3	-1.198000E+2	-2.993000E+2	1.530320E+3	-1.221000E+2	-2.594000E+2	1.530320E+3	-1.421000E+2	-2.812000E+2	1.530320E+3	-1.397000E+2	-3.187000E+2
1.530330E+3	1.798000E+2	-2.000000E-1	1.530330E+3	-1.130000E+2	-2.911000E+2	1.533300E+3	-5.961000E+1	-1.836100E+2	1.530330E+3	-1.200000E+2	-2.995000E+2	1.530330E+3	-1.219000E+2	-2.592000E+2	1.530330E+3	-1.417000E+2	-2.808000E+2	1.530330E+3	-1.395000E+2	-3.185000E+2
