24/10/2012
V740D9_TEr20g200 _X	V740D9_TEr20g200_Y	V740D9_TEr20g200_Ynorm	V740D9_TEnoRing _X	V740D9_TEnoRing_Y	V740D9_TEnoRing_Ynorm	V740D9_TEr20g275 _X	V740D9_TEr20g275_Y	V740D9_TEr20g275_Ynorm	V740D9_TEr20g325 _X	V740D9_TEr20g325_Y	V740D9_TEr20g325_Ynorm	V740D9_TEr20g400 _X	V740D9_TEr20g400_Y	V740D9_TEr20g400_Ynorm	V740D9_TEr20g170g180 _X	V740D9_TEr20g170g180_Y	V740D9_TEr20g170g180_Ynorm
1.530450E+3	-3.430800E+1	-4.568000E+0	1.530450E+3	-3.427800E+1	-3.967000E+0	1.530450E+3	-3.397100E+1	-3.650000E+0	1.530450E+3	-3.341100E+1	-3.112000E+0	1.530450E+3	-3.417300E+1	-3.889000E+0	1.530450E+3	-3.441900E+1	-3.927000E+0
1.530460E+3	-3.427800E+1	-4.538000E+0	1.530460E+3	-3.427600E+1	-3.965000E+0	1.530460E+3	-3.397000E+1	-3.649000E+0	1.530460E+3	-3.340900E+1	-3.110000E+0	1.530460E+3	-3.417000E+1	-3.886000E+0	1.530460E+3	-3.440900E+1	-3.917000E+0
1.530470E+3	-3.430500E+1	-4.565000E+0	1.530470E+3	-3.430200E+1	-3.991000E+0	1.530470E+3	-3.401300E+1	-3.692000E+0	1.530470E+3	-3.334100E+1	-3.042000E+0	1.530470E+3	-3.419900E+1	-3.915000E+0	1.530470E+3	-3.436900E+1	-3.877000E+0
1.530480E+3	-3.430600E+1	-4.566000E+0	1.530480E+3	-3.432500E+1	-4.014000E+0	1.530480E+3	-3.403400E+1	-3.713000E+0	1.530480E+3	-3.334900E+1	-3.050000E+0	1.530480E+3	-3.419400E+1	-3.910000E+0	1.530480E+3	-3.435900E+1	-3.867000E+0
1.530490E+3	-3.430600E+1	-4.566000E+0	1.530490E+3	-3.429400E+1	-3.983000E+0	1.530490E+3	-3.403400E+1	-3.713000E+0	1.530490E+3	-3.335500E+1	-3.056000E+0	1.530490E+3	-3.420200E+1	-3.918000E+0	1.530490E+3	-3.437200E+1	-3.880000E+0
1.530500E+3	-3.430500E+1	-4.565000E+0	1.530500E+3	-3.433200E+1	-4.021000E+0	1.530500E+3	-3.407400E+1	-3.753000E+0	1.530500E+3	-3.334000E+1	-3.041000E+0	1.530500E+3	-3.421400E+1	-3.930000E+0	1.530500E+3	-3.438400E+1	-3.892000E+0
1.530510E+3	-3.431500E+1	-4.575000E+0	1.530510E+3	-3.434100E+1	-4.030000E+0	1.530510E+3	-3.409400E+1	-3.773000E+0	1.530510E+3	-3.333300E+1	-3.034000E+0	1.530510E+3	-3.420100E+1	-3.917000E+0	1.530510E+3	-3.433700E+1	-3.845000E+0
1.530520E+3	-3.430400E+1	-4.564000E+0	1.530520E+3	-3.434900E+1	-4.038000E+0	1.530520E+3	-3.408200E+1	-3.761000E+0	1.530520E+3	-3.334400E+1	-3.045000E+0	1.530520E+3	-3.418400E+1	-3.900000E+0	1.530520E+3	-3.433800E+1	-3.846000E+0
1.530530E+3	-3.429100E+1	-4.551000E+0	1.530530E+3	-3.434700E+1	-4.036000E+0	1.530530E+3	-3.408200E+1	-3.761000E+0	1.530530E+3	-3.332900E+1	-3.030000E+0	1.530530E+3	-3.416800E+1	-3.884000E+0	1.530530E+3	-3.431200E+1	-3.820000E+0
1.530540E+3	-3.429500E+1	-4.555000E+0	1.530540E+3	-3.434900E+1	-4.038000E+0	1.530540E+3	-3.406500E+1	-3.744000E+0	1.530540E+3	-3.333400E+1	-3.035000E+0	1.530540E+3	-3.416600E+1	-3.882000E+0	1.530540E+3	-3.431200E+1	-3.820000E+0
