26/07/2011
corrugada1_setbottom_C11_Pin=-1 _X	corrugada1_setbottom_C11_Pin=-1_Y	corrugada1_setbottom_C11_Pin=-1_Ynorm	corrugada1_setbottom_C11_Pin=-1 _X	corrugada1_setbottom_C11_Pin=-1_Y	corrugada1_setbottom_C11_Pin=-1_Ynorm	corrugada1_setbottom_C11_Pin=-1 _X	corrugada1_setbottom_C11_Pin=-1_Y	corrugada1_setbottom_C11_Pin=-1_Ynorm
1.573000E+3	-1.556000E+2	-3.356000E+2	1.569500E+3	7.688000E+1	-1.030200E+2	1.569500E+3	1.044000E+2	-7.560000E+1
1.573100E+3	-1.559000E+2	-3.359000E+2	1.569550E+3	8.122000E+1	-9.868000E+1	1.569550E+3	1.083000E+2	-7.170000E+1
1.573200E+3	-1.472000E+2	-3.272000E+2	1.569600E+3	8.815000E+1	-9.175000E+1	1.569600E+3	1.136000E+2	-6.640000E+1
1.573300E+3	-1.378000E+2	-3.178000E+2	1.569650E+3	9.616000E+1	-8.374000E+1	1.569650E+3	1.202000E+2	-5.980000E+1
1.573400E+3	-1.335000E+2	-3.135000E+2	1.569700E+3	9.713000E+1	-8.277000E+1	1.569700E+3	1.199000E+2	-6.010000E+1
1.573500E+3	-1.469000E+2	-3.269000E+2	1.569750E+3	9.717000E+1	-8.273000E+1	1.569750E+3	1.178000E+2	-6.220000E+1
1.573600E+3	-1.599000E+2	-3.399000E+2	1.569800E+3	9.918000E+1	-8.072000E+1	1.569800E+3	1.176000E+2	-6.240000E+1
1.573700E+3	-1.786000E+2	-3.586000E+2	1.569850E+3	1.015000E+2	-7.840000E+1	1.569850E+3	1.189000E+2	-6.110000E+1
1.573800E+3	1.800000E+2	0.000000E+0	1.569900E+3	1.038000E+2	-7.610000E+1	1.569900E+3	1.201000E+2	-5.990000E+1
1.573900E+3	-1.754000E+2	-3.554000E+2	1.569950E+3	1.066000E+2	-7.330000E+1	1.569950E+3	1.224000E+2	-5.760000E+1
1.574000E+3	-1.605000E+2	-3.405000E+2	1.570000E+3	1.126000E+2	-6.730000E+1	1.570000E+3	1.279000E+2	-5.210000E+1
1.574100E+3	-1.630000E+2	-3.430000E+2	1.570050E+3	1.196000E+2	-6.030000E+1	1.570050E+3	1.345000E+2	-4.550000E+1
1.574200E+3	-1.655000E+2	-3.455000E+2	1.570100E+3	1.314000E+2	-4.850000E+1	1.570100E+3	1.460000E+2	-3.400000E+1
1.574300E+3	-1.588000E+2	-3.388000E+2	1.570150E+3	1.355000E+2	-4.440000E+1	1.570150E+3	1.491000E+2	-3.090000E+1
1.574400E+3	-1.570000E+2	-3.370000E+2	1.570200E+3	1.379000E+2	-4.200000E+1	1.570200E+3	1.511000E+2	-2.890000E+1
1.574500E+3	-1.695000E+2	-3.495000E+2	1.570250E+3	1.416000E+2	-3.830000E+1	1.570250E+3	1.545000E+2	-2.550000E+1
1.574600E+3	1.733000E+2	-6.700000E+0	1.570300E+3	1.427000E+2	-3.720000E+1	1.570300E+3	1.546000E+2	-2.540000E+1
1.574700E+3	1.592000E+2	-2.080000E+1	1.570350E+3	1.437000E+2	-3.620000E+1	1.570350E+3	1.550000E+2	-2.500000E+1
1.574800E+3	1.529000E+2	-2.710000E+1	1.570400E+3	1.451000E+2	-3.480000E+1	1.570400E+3	1.588000E+2	-2.120000E+1
1.574900E+3	1.539000E+2	-2.610000E+1	1.570450E+3	1.513000E+2	-2.860000E+1	1.570450E+3	1.682000E+2	-1.180000E+1
1.575000E+3	1.604000E+2	-1.960000E+1	1.570500E+3	1.616000E+2	-1.830000E+1	1.570500E+3	1.785000E+2	-1.500000E+0
1.575100E+3	1.650000E+2	-1.500000E+1	1.570550E+3	1.704000E+2	-9.500000E+0	1.570550E+3	-1.787000E+2	-3.587000E+2
1.575200E+3	1.570000E+2	-2.300000E+1	1.570600E+3	1.703000E+2	-9.600000E+0	1.570600E+3	1.745000E+2	-5.500000E+0
1.575300E+3	1.566000E+2	-2.340000E+1	1.570650E+3	1.677000E+2	-1.220000E+1	1.570650E+3	1.712000E+2	-8.800000E+0
1.575400E+3	1.546000E+2	-2.540000E+1	1.570700E+3	1.667000E+2	-1.320000E+1	1.570700E+3	1.647000E+2	-1.530000E+1
1.575500E+3	1.605000E+2	-1.950000E+1	1.570750E+3	1.630000E+2	-1.690000E+1	1.570750E+3	1.581000E+2	-2.190000E+1
1.575600E+3	1.584000E+2	-2.160000E+1	1.570800E+3	1.603000E+2	-1.960000E+1	1.570800E+3	1.567000E+2	-2.330000E+1
1.575700E+3	1.495000E+2	-3.050000E+1	1.570850E+3	1.645000E+2	-1.540000E+1	1.570850E+3	1.575000E+2	-2.250000E+1
1.575800E+3	1.503000E+2	-2.970000E+1	1.570900E+3	1.730000E+2	-6.900000E+0	1.570900E+3	1.640000E+2	-1.600000E+1
1.575900E+3	1.554000E+2	-2.460000E+1	1.570950E+3	-1.796000E+2	-3.595000E+2	1.570950E+3	1.702000E+2	-9.800000E+0
1.576000E+3	1.514000E+2	-2.860000E+1	1.571000E+3	-1.739000E+2	-3.538000E+2	1.571000E+3	1.748000E+2	-5.200000E+0
1.576100E+3	1.388000E+2	-4.120000E+1	1.571050E+3	-1.681000E+2	-3.480000E+2	1.571050E+3	-1.799000E+2	-3.599000E+2
1.576200E+3	1.321000E+2	-4.790000E+1	1.571100E+3	-1.636000E+2	-3.435000E+2	1.571100E+3	-1.751000E+2	-3.551000E+2
1.576300E+3	1.277000E+2	-5.230000E+1	1.571150E+3	-1.599000E+2	-3.398000E+2	1.571150E+3	-1.708000E+2	-3.508000E+2
1.576400E+3	1.302000E+2	-4.980000E+1	1.571200E+3	-1.569000E+2	-3.368000E+2	1.571200E+3	-1.665000E+2	-3.465000E+2
1.576500E+3	1.061000E+2	-7.390000E+1	1.571250E+3	-1.525000E+2	-3.324000E+2	1.571250E+3	-1.612000E+2	-3.412000E+2
1.576600E+3	1.016000E+2	-7.840000E+1	1.571300E+3	-1.473000E+2	-3.272000E+2	1.571300E+3	-1.550000E+2	-3.350000E+2
1.576700E+3	1.020000E+2	-7.800000E+1	1.571350E+3	-1.452000E+2	-3.251000E+2	1.571350E+3	-1.521000E+2	-3.321000E+2
1.576800E+3	1.163000E+2	-6.370000E+1	1.571400E+3	-1.437000E+2	-3.236000E+2	1.571400E+3	-1.501000E+2	-3.301000E+2
1.576900E+3	1.028000E+2	-7.720000E+1	1.571450E+3	-1.401000E+2	-3.200000E+2	1.571450E+3	-1.462000E+2	-3.262000E+2
1.577000E+3	1.014000E+2	-7.860000E+1	1.571500E+3	-1.369000E+2	-3.168000E+2	1.571500E+3	-1.422000E+2	-3.222000E+2
1.577100E+3	9.584000E+1	-8.416000E+1	1.571550E+3	-1.372000E+2	-3.171000E+2	1.571550E+3	-1.402000E+2	-3.202000E+2
1.577200E+3	9.293000E+1	-8.707000E+1	1.571600E+3	-1.346000E+2	-3.145000E+2	1.571600E+3	-1.348000E+2	-3.148000E+2
1.577300E+3	7.591000E+1	-1.040900E+2	1.571650E+3	-1.328000E+2	-3.127000E+2	1.571650E+3	-1.296000E+2	-3.096000E+2
1.577400E+3	7.927000E+1	-1.007300E+2	1.571700E+3	-1.314000E+2	-3.113000E+2	1.571700E+3	-1.252000E+2	-3.052000E+2
1.577500E+3	8.675000E+1	-9.325000E+1	1.571750E+3	-1.321000E+2	-3.120000E+2	1.571750E+3	-1.237000E+2	-3.037000E+2
1.577600E+3	8.916000E+1	-9.084000E+1	1.571800E+3	-1.314000E+2	-3.113000E+2	1.571800E+3	-1.212000E+2	-3.012000E+2
1.577700E+3	7.887000E+1	-1.011300E+2	1.571850E+3	-1.324000E+2	-3.123000E+2	1.571850E+3	-1.212000E+2	-3.012000E+2
1.577800E+3	6.222000E+1	-1.177800E+2	1.571900E+3	-1.365000E+2	-3.164000E+2	1.571900E+3	-1.242000E+2	-3.042000E+2
1.577900E+3	4.616000E+1	-1.338400E+2	1.571950E+3	-1.407000E+2	-3.206000E+2	1.571950E+3	-1.283000E+2	-3.083000E+2
1.578000E+3	4.747000E+1	-1.325300E+2	1.572000E+3	-1.431000E+2	-3.230000E+2	1.572000E+3	-1.309000E+2	-3.109000E+2
1.578100E+3	4.460000E+1	-1.354000E+2	1.572050E+3	-1.453000E+2	-3.252000E+2	1.572050E+3	-1.328000E+2	-3.128000E+2
1.578200E+3	4.405000E+1	-1.359500E+2	1.572100E+3	-1.497000E+2	-3.296000E+2	1.572100E+3	-1.369000E+2	-3.169000E+2
1.578300E+3	5.185000E+1	-1.281500E+2	1.572150E+3	-1.482000E+2	-3.281000E+2	1.572150E+3	-1.361000E+2	-3.161000E+2
1.578400E+3	4.713000E+1	-1.328700E+2	1.572200E+3	-1.474000E+2	-3.273000E+2	1.572200E+3	-1.343000E+2	-3.143000E+2
1.578500E+3	4.584000E+1	-1.341600E+2	1.572250E+3	-1.443000E+2	-3.242000E+2	1.572250E+3	-1.336000E+2	-3.136000E+2
1.578600E+3	3.157000E+1	-1.484300E+2	1.572300E+3	-1.454000E+2	-3.253000E+2	1.572300E+3	-1.361000E+2	-3.161000E+2
1.578700E+3	2.970000E+1	-1.503000E+2	1.572350E+3	-1.451000E+2	-3.250000E+2	1.572350E+3	-1.337000E+2	-3.137000E+2
1.578800E+3	2.254000E+1	-1.574600E+2	1.572400E+3	-1.409000E+2	-3.208000E+2	1.572400E+3	-1.297000E+2	-3.097000E+2
1.578900E+3	1.495000E+1	-1.650500E+2	1.572450E+3	-1.390000E+2	-3.189000E+2	1.572450E+3	-1.273000E+2	-3.073000E+2
1.579000E+3	-1.376000E+1	-1.937600E+2	1.572500E+3	-1.363000E+2	-3.162000E+2	1.572500E+3	-1.236000E+2	-3.036000E+2
1.579100E+3	-1.322000E+1	-1.932200E+2	1.572550E+3	-1.339000E+2	-3.138000E+2	1.572550E+3	-1.190000E+2	-2.990000E+2
1.579200E+3	-1.406000E-1	-1.801406E+2	1.572600E+3	-1.296000E+2	-3.095000E+2	1.572600E+3	-1.164000E+2	-2.964000E+2
1.579300E+3	-9.141000E-1	-1.809141E+2	1.572650E+3	-1.315000E+2	-3.114000E+2	1.572650E+3	-1.183000E+2	-2.983000E+2
1.579400E+3	-2.416000E+1	-2.041600E+2	1.572700E+3	-1.367000E+2	-3.166000E+2	1.572700E+3	-1.225000E+2	-3.025000E+2
