06/03/2012
V740 C11 Middle set
Pin 0.6dBm
MZIcorr1001 _X	MZIcorr1001_Y	MZIcorr1001_Ynorm	MZIcorr1001 _X	MZIcorr1001_Y	MZIcorr1001_Ynorm	MZIcorr51 _X	MZIcorr51_Y	MZIcorr51_Ynorm	MZIcorr101 _X	MZIcorr101_Y	MZIcorr101_Ynorm	corrWi1100_101taps _X	corrWi1100_101taps_Y	corrWi1100_101taps_Ynorm	corrWi1100_1001taps _X	corrWi1100_1001taps_Y	corrWi1100_1001taps_Ynorm
1.532800E+3	-2.533100E+1	-7.700000E-2	1.561400E+3	-2.924200E+1	-3.430000E-1	1.531400E+3	-2.258700E+1	-3.690000E-1	1.531400E+3	-2.211800E+1	-1.800000E-1	1.531400E+3	-5.027800E+1	-2.927400E+1	1.531400E+3	-6.159200E+1	-3.265800E+1
1.532900E+3	-2.540800E+1	-1.540000E-1	1.561450E+3	-2.932300E+1	-4.240000E-1	1.531450E+3	-2.261400E+1	-3.960000E-1	1.531450E+3	-2.216800E+1	-2.300000E-1	1.531450E+3	-5.032200E+1	-2.931800E+1	1.531450E+3	-6.157400E+1	-3.264000E+1
1.533000E+3	-2.535000E+1	-9.600000E-2	1.561500E+3	-2.929500E+1	-3.960000E-1	1.531500E+3	-2.255100E+1	-3.330000E-1	1.531500E+3	-2.218500E+1	-2.470000E-1	1.531500E+3	-5.034600E+1	-2.934200E+1	1.531500E+3	-6.156000E+1	-3.262600E+1
1.533100E+3	-2.532900E+1	-7.500000E-2	1.561550E+3	-2.924100E+1	-3.420000E-1	1.531550E+3	-2.263200E+1	-4.140000E-1	1.531550E+3	-2.223200E+1	-2.940000E-1	1.531550E+3	-5.031400E+1	-2.931000E+1	1.531550E+3	-6.153300E+1	-3.259900E+1
1.533200E+3	-2.528400E+1	-3.000000E-2	1.561600E+3	-2.922400E+1	-3.250000E-1	1.531600E+3	-2.266600E+1	-4.480000E-1	1.531600E+3	-2.224100E+1	-3.030000E-1	1.531600E+3	-5.029600E+1	-2.929200E+1	1.531600E+3	-6.152000E+1	-3.258600E+1
1.533300E+3	-2.531300E+1	-5.900000E-2	1.561650E+3	-2.922400E+1	-3.250000E-1	1.531650E+3	-2.261000E+1	-3.920000E-1	1.531650E+3	-2.222700E+1	-2.890000E-1	1.531650E+3	-5.031100E+1	-2.930700E+1	1.531650E+3	-6.151100E+1	-3.257700E+1
1.533400E+3	-2.533000E+1	-7.600000E-2	1.561700E+3	-2.927000E+1	-3.710000E-1	1.531700E+3	-2.258400E+1	-3.660000E-1	1.531700E+3	-2.224300E+1	-3.050000E-1	1.531700E+3	-5.029600E+1	-2.929200E+1	1.531700E+3	-6.142400E+1	-3.249000E+1
1.533500E+3	-2.538800E+1	-1.340000E-1	1.561750E+3	-2.926600E+1	-3.670000E-1	1.531750E+3	-2.255200E+1	-3.340000E-1	1.531750E+3	-2.219800E+1	-2.600000E-1	1.531750E+3	-5.035300E+1	-2.934900E+1	1.531750E+3	-6.146600E+1	-3.253200E+1
1.533600E+3	-2.539000E+1	-1.360000E-1	1.561800E+3	-2.921300E+1	-3.140000E-1	1.531800E+3	-2.259800E+1	-3.800000E-1	1.531800E+3	-2.214300E+1	-2.050000E-1	1.531800E+3	-5.035700E+1	-2.935300E+1	1.531800E+3	-6.146100E+1	-3.252700E+1
1.533700E+3	-2.543200E+1	-1.780000E-1	1.561850E+3	-2.929000E+1	-3.910000E-1	1.531850E+3	-2.262500E+1	-4.070000E-1	1.531850E+3	-2.213000E+1	-1.920000E-1	1.531850E+3	-5.038800E+1	-2.938400E+1	1.531850E+3	-6.137700E+1	-3.244300E+1
1.533800E+3	-2.540100E+1	-1.470000E-1	1.561900E+3	-2.948800E+1	-5.890000E-1	1.531900E+3	-2.261500E+1	-3.970000E-1	1.531900E+3	-2.211200E+1	-1.740000E-1	1.531900E+3	-5.043700E+1	-2.943300E+1	1.531900E+3	-6.132000E+1	-3.238600E+1
1.533900E+3	-2.538800E+1	-1.340000E-1	1.561950E+3	-2.951800E+1	-6.190000E-1	1.531950E+3	-2.262100E+1	-4.030000E-1	1.531950E+3	-2.207600E+1	-1.380000E-1	1.531950E+3	-5.044300E+1	-2.943900E+1	1.531950E+3	-6.131700E+1	-3.238300E+1
1.534000E+3	-2.533800E+1	-8.400000E-2	1.562000E+3	-2.944500E+1	-5.460000E-1	1.532000E+3	-2.266900E+1	-4.510000E-1	1.532000E+3	-2.206400E+1	-1.260000E-1	1.532000E+3	-5.044300E+1	-2.943900E+1	1.532000E+3	-6.135000E+1	-3.241600E+1
1.534100E+3	-2.536600E+1	-1.120000E-1	1.562050E+3	-2.946300E+1	-5.640000E-1	1.532050E+3	-2.268200E+1	-4.640000E-1	1.532050E+3	-2.207400E+1	-1.360000E-1	1.532050E+3	-5.047600E+1	-2.947200E+1	1.532050E+3	-6.140100E+1	-3.246700E+1
1.534200E+3	-2.539900E+1	-1.450000E-1	1.562100E+3	-2.963200E+1	-7.330000E-1	1.532100E+3	-2.260600E+1	-3.880000E-1	1.532100E+3	-2.209500E+1	-1.570000E-1	1.532100E+3	-5.039000E+1	-2.938600E+1	1.532100E+3	-6.123300E+1	-3.229900E+1
1.534300E+3	-2.543300E+1	-1.790000E-1	1.562150E+3	-2.960500E+1	-7.060000E-1	1.532150E+3	-2.258200E+1	-3.640000E-1	1.532150E+3	-2.209000E+1	-1.520000E-1	1.532150E+3	-5.036300E+1	-2.935900E+1	1.532150E+3	-6.110100E+1	-3.216700E+1
1.534400E+3	-2.544500E+1	-1.910000E-1	1.562200E+3	-2.938800E+1	-4.890000E-1	1.532200E+3	-2.264000E+1	-4.220000E-1	1.532200E+3	-2.208500E+1	-1.470000E-1	1.532200E+3	-5.042500E+1	-2.942100E+1	1.532200E+3	-6.119700E+1	-3.226300E+1
1.534500E+3	-2.548500E+1	-2.310000E-1	1.562250E+3	-2.929100E+1	-3.920000E-1	1.532250E+3	-2.268400E+1	-4.660000E-1	1.532250E+3	-2.212100E+1	-1.830000E-1	1.532250E+3	-5.045700E+1	-2.945300E+1	1.532250E+3	-6.133300E+1	-3.239900E+1
1.534600E+3	-2.544900E+1	-1.950000E-1	1.562300E+3	-2.937100E+1	-4.720000E-1	1.532300E+3	-2.257800E+1	-3.600000E-1	1.532300E+3	-2.218300E+1	-2.450000E-1	1.532300E+3	-5.051300E+1	-2.950900E+1	1.532300E+3	-6.140000E+1	-3.246600E+1
