26/07/2011
corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm	corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm	corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm
1.557650E+3	7.270000E+1	-1.072000E+2	1.557650E+3	5.684000E+1	-1.227600E+2	1.557650E+3	-2.922000E+0	-1.826220E+2
1.557700E+3	8.045000E+1	-9.945000E+1	1.557700E+3	6.027000E+1	-1.193300E+2	1.557700E+3	1.289000E+0	-1.784110E+2
1.557750E+3	9.596000E+1	-8.394000E+1	1.557750E+3	8.381000E+1	-9.579000E+1	1.557750E+3	2.486000E+1	-1.548400E+2
1.557800E+3	9.356000E+1	-8.634000E+1	1.557800E+3	8.681000E+1	-9.279000E+1	1.557800E+3	2.891000E+1	-1.507900E+2
1.557850E+3	1.004000E+2	-7.950000E+1	1.557850E+3	9.107000E+1	-8.853000E+1	1.557850E+3	3.567000E+1	-1.440300E+2
1.557900E+3	1.138000E+2	-6.610000E+1	1.557900E+3	1.034000E+2	-7.620000E+1	1.557900E+3	4.939000E+1	-1.303100E+2
1.557950E+3	1.163000E+2	-6.360000E+1	1.557950E+3	1.070000E+2	-7.260000E+1	1.557950E+3	5.264000E+1	-1.270600E+2
1.558000E+3	1.244000E+2	-5.550000E+1	1.558000E+3	1.144000E+2	-6.520000E+1	1.558000E+3	5.882000E+1	-1.208800E+2
1.558050E+3	1.266000E+2	-5.330000E+1	1.558050E+3	1.176000E+2	-6.200000E+1	1.558050E+3	6.358000E+1	-1.161200E+2
1.558100E+3	1.366000E+2	-4.330000E+1	1.558100E+3	1.287000E+2	-5.090000E+1	1.558100E+3	7.548000E+1	-1.042200E+2
1.558150E+3	1.426000E+2	-3.730000E+1	1.558150E+3	1.354000E+2	-4.420000E+1	1.558150E+3	8.547000E+1	-9.423000E+1
1.558200E+3	1.396000E+2	-4.030000E+1	1.558200E+3	1.340000E+2	-4.560000E+1	1.558200E+3	8.591000E+1	-9.379000E+1
